original_id,consolidated_id,consolidated_name
ABR973210280947,ABR973210280947,Agrar Energie Hohe Heide GmbH
ABR926350069835,ABR926350069835,Agrar Energie Vethkampen GmbH ＆ Co. KG
ABR962875618837,ABR962875618837,Agrar Gas Denkte GmbH ＆ Co. KG
ABR946788502865,ABR946788502865,"Agrar GmbH ""Am Hakelweg"""
ABR991762518219,ABR991762518219,"Agrar GmbH ""Am Straufhain"" Streufdorf"
ABR941227634855,ABR941227634855,"Agrar GmbH ""Steinerne Heide"""
ABR935475034956,ABR935475034956,Agrar GmbH Auligk
ABR967080527028,ABR967080527028,Agrar GmbH Beberstedt
ABR917615821985,ABR917615821985,Agrar GmbH Boberow
ABR998126132838,ABR998126132838,Agrar GmbH Braunichswalde
ABR944309655854,ABR944309655854,Agrar GmbH Cottbus West
ABR921165422233,ABR921165422233,Agrar GmbH Elbe-Saale ＆ Co. Service-Handel KG
ABR981773832688,ABR981773832688,Agrar GmbH Gersdorf-Oberlichtenau
ABR948508175557,ABR948508175557,Agrar GmbH Gut Ferdinandshof
ABR948792675894,ABR948792675894,Agrar GmbH Holleben
ABR932361788450,ABR932361788450,Agrar GmbH Kakerbeck
ABR928096868178,ABR928096868178,Agrar GmbH Kraatz
ABR945016263752,ABR945016263752,Agrar GmbH Langengrassau
ABR999203751973,ABR999203751973,Agrar GmbH Lebusa
ABR970654440661,ABR970654440661,Agrar GmbH Saalfelder Höhe
ABR968712106727,ABR968712106727,Agrar GmbH Schlenzer
ABR995933375625,ABR995933375625,Agrar GmbH Trebra
ABR989608386504,ABR989608386504,Agrar GmbH Wildau-Wentdorf
ABR945007066676,ABR945007066676,Agrar GmbH Zerben
ABR914399094130,ABR914399094130,Agrar GmbH Ziegelheim
ABR908009865920,ABR908009865920,Agrar GmbH Zschopautal
ABR908501743146,ABR908501743146,Agrar Liepgarten GmbH
ABR912122701010,ABR912122701010,Agrar Milch GmbH
ABR950499332208,ABR950499332208,Agrar Mirow GmbH
ABR943212914317,ABR943212914317,Agrar Planetal Golzow GmbH
ABR943177903012,ABR943177903012,Agrar Schlalach GmbH
ABR995662019821,ABR995662019821,Agrar T ＆ P GmbH Mockzig
ABR962233144305,ABR962233144305,Agrar eG Heberndorf
ABR961043037661,ABR961043037661,Agrar- und Dienstleistungsgenossenschaft Geroda eG
ABR905085514674,ABR905085514674,Agrar- und Milchhof Stemmern GmbH
ABR913304714286,ABR913304714286,Agrar- und Tierzuchtgenossenschaft Grabfeld eG
ABR964826042180,ABR964826042180,Agrar-Energie Allhusen GmbH ＆ Co. KG
ABR988387289150,ABR988387289150,Agrar-Energie Bodenfelde
ABR988717621131,ABR988717621131,Agrar-Energie GbR
ABR950310449979,ABR950310449979,Agrar-Energie GmbH ＆ Co. KG
ABR994943973562,ABR994943973562,Agrar-Energie Obernhausen GmbH ＆ Co. KG
ABR975352972360,ABR975352972360,Agrar-Energie-GmbH ＆ Co.KG
ABR931740891743,ABR931740891743,"Agrar-Genossenschaft ""Bobritzschtal"" e.G."
ABR939763318964,ABR939763318964,"Agrar-Genossenschaft ""Burgberg"" e.G."
ABR927261710816,ABR927261710816,Agrar-Genossenschaft Elbeland eG Scharlibbe
ABR912734048107,ABR912734048107,Agrar-Genossenschaft e.G. Jänschwalde
ABR917728788953,ABR917728788953,Agrar-Genossenschaft eG Seehausen/Altmark
ABR963878983540,ABR963878983540,"Agrar-Genossenschaft""Krevese-Drüsedau""eG"
ABR935021264950,ABR935021264950,Agrar-Geräte Vermietungsgesellschaft Langenau mbH
ABR935225133564,ABR935225133564,"Agrar-Gesellschaft ""Börde"" mbH Rottmersleben"
ABR961520603013,ABR961520603013,"Agrar-GmbH "" Am Stromberg "" Gröditz"
ABR976548571008,ABR976548571008,Agrar-Milch-Mast GmbH Frössen
ABR928372656666,ABR928372656666,Agrar-Produktivgenossenschaft Pirna-Cotta eG
ABR940371579913,ABR940371579913,Agrar-Technik GmbH Niederbobritzsch
ABR904592034538,ABR904592034538,Agrar-Wärme-GmbH
ABR978649389278,ABR978649389278,Agrar-undTierzuchtgesellschaft Nahrstedt mbH
ABR903750059376,ABR903750059376,AgrarEnergie Ackermann GbR
ABR949814462539,ABR949814462539,AgrarEnergie Bernartz GmbH & Co. KG
ABR901410089398,ABR901410089398,AgrarEnergie Götzberg GmbH ＆ Co. KG
ABR918005802850,ABR918005802850,AgrarEnergie Hauneck-Bodes GmbH ＆ Co. KG
ABR977381346280,ABR977381346280,AgrarEnergie Joos UG(haftungsbeschränkt) ＆ Co.KG
ABR977309690518,ABR977309690518,AgrarEnergie Linne GmbH ＆ Co. KG
ABR931209236931,ABR931209236931,AgrarEnergie Rothemann GmbH
ABR915190621709,ABR915190621709,AgrarEnergie Wnuck GmbH ＆ Co. KG
ABR937363385225,ABR937363385225,AgrarEnergieHaar UG (haftungsbeschränkt) ＆Co.KG
ABR958340626629,ABR958340626629,AgrarErzeugerGemeinschaft Schönau-Ostritz GbR
ABR992176077620,ABR992176077620,Agrarbetrieb Grüne Aue eG
ABR967063117796,ABR967063117796,Agrarbetrieb Schönbrunn eG
ABR997892600985,ABR997892600985,Agrarbetrieb Todendorf eG
ABR928320150130,ABR928320150130,Agrarenergie Bad Freienwalde GmbH ＆ Co.KG
ABR940750224922,ABR940750224922,Agrarenergie Biogas Ramstein GmbH ＆ Co.KG
ABR916149844651,ABR916149844651,Agrarenergie Dratum GmbH ＆ Co.KG
ABR936876289488,ABR936876289488,Agrarenergie Dretzen GmbH ＆ Co. KG
ABR960685959010,ABR960685959010,Agrarenergie Drochtersen GmbH ＆ Co. KG
ABR901906832392,ABR901906832392,Agrarenergie Falkenhain GmbH ＆ Co. KG
ABR968570270400,ABR968570270400,Agrarenergie GbR
ABR974169634720,ABR974169634720,Agrarenergie GbR Hauber
ABR980815674729,ABR980815674729,Agrarenergie Hartum
ABR947292858912,ABR947292858912,Agrarenergie Havendorf GmbH ＆ Co. KG
ABR998994247979,ABR998994247979,Agrarenergie Holterdorf GmbH ＆ Co. KG
ABR964059845749,ABR964059845749,Agrarenergie Hölterhof GmbH＆Co.KG
ABR968644513938,ABR968644513938,Agrarenergie Ihlowerfehn GmbH ＆ Co. KG
ABR956261246353,ABR956261246353,Agrarenergie Kaarßen GmbH ＆ Co. KG
